id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2021-02-15T19:00:20;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2021-02-15T14:00:40;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2021-02-15T16:09:42;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2021-02-15T08:54:07;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2021-02-16T00:17:13;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2021-02-15T11:39:19;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2021-02-15T14:35:51;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2021-02-15T04:38:30;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2021-02-15T07:28:06;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2021-02-15T08:10:31;601;74069
